snapshot_utc	review_status	paper_code	slide_label	trait_type	neale_code	status	alpha_eligible	nonsynonymous_eligible	alpha	alpha_se	alpha_ci_low	alpha_ci_high	nonsynonymous_enrichment	nonsynonymous_enrichment_se	total_h2	total_h2_se	iterations	matched_snp_count
2026-09-13T16:33:32Z	validated	3000963	Hemoglobin	continuous	30020_irnt	complete	True	True	-0.21999159326127932	0.11379048217027031	-0.4422455054086778	0.021244657229571487	31.206855838569787	4.370302757888642	0.1937215774023877	0.007572673338306385	71	7218151
2026-09-13T16:33:32Z	validated	3016723	Creatinine	continuous	30700_irnt	complete	True	True	-0.20832663336903956	0.08140724069869126	-0.36037452363109457	-0.03763261416164031	34.92482945097563	3.098891031691531	0.2294344066199434	0.008060871257497496	71	7217969
2026-09-13T16:33:32Z	unresolved	3020416	RBC count	continuous	30010_irnt	max_iterations	False	False	-0.2997849184786583	0.05977109526005192	-0.4206873535041903	-0.17258589676609837	23.270897373421885	2.4803830128681015	0.2372590382859313	0.012729259537359976	100	7218152
2026-09-13T16:33:32Z	unresolved	3023599	MCV	continuous	30040_irnt	max_iterations	False	False	-0.49859322681909324	0.1911177292381189	-0.9289263893909047	0.8598232511964151	23.030838460059968	23.808679774931647	0.2755468716382736	63.361508706204845	100	7218154
2026-09-13T16:33:32Z	unresolved	3028288	LDL	continuous	30780_irnt	max_iterations	False	False	-0.7678178613620315	0.06783722487802596	-0.9104908514168879	-0.5920994774197458	61.357336669096625	11.439355759168915	0.13551613892906814	0.024958001984562814	100	7217924
2026-09-13T16:33:32Z	unresolved	blood-pressure-diastolic-mean	Diastolic BP	continuous	4079_irnt	max_iterations	False	False	-0.3298916552149191	0.0712994677796297	-0.46609077913607333	-0.18731655903281305	21.604141599469575	2.819829270264381	0.1525941595000411	0.0041668146203824	100	7218362
2026-09-13T16:33:32Z	unresolved	blood-pressure-systolic-mean	Systolic BP	continuous	4080_irnt	stationary_singular_information	False	False					21.54897759369832		0.15956951914142845		52	7218360
2026-09-13T16:33:32Z	validated	BMI	BMI	continuous	21001_irnt	complete	True	True	-0.2283383219348005	0.04939836337931111	-0.3217956629057636	-0.12960504711661547	15.649986995126556	1.8685933073892624	0.2661672136028635	0.00609487545116523	26	7218137
2026-09-13T16:33:32Z	pending	CA_105	Breast cancer	binary	C3_BREAST_3	pending	False	False										
2026-09-13T16:33:32Z	pending	CV_401.1	Hypertension	binary	20002_1065	pending	False	False										
2026-09-13T16:33:32Z	pending	DE_660.6	Cellulitis	binary	L03	pending	False	False										
2026-09-13T16:33:32Z	pending	EM_236.1	Obesity	binary	E4_OBESITY	pending	False	False										
2026-09-13T16:33:32Z	pending	EM_239	Hyperlipidemia	binary	20002_1473	pending	False	False										
2026-09-13T16:33:32Z	pending	height	Height	continuous	50_irnt	running_or_interrupted	False	False										
2026-09-13T16:33:32Z	pending	hip-circumference-mean	Hip circumference	continuous	49_irnt	pending	False	False										
2026-09-13T16:33:32Z	pending	RE_462.1	Acute sinusitis	binary	J01	pending	False	False										
2026-09-13T16:33:32Z	pending	waist-circumference-mean	Waist circumference	continuous	48_irnt	pending	False	False										
2026-09-13T16:33:32Z	validated	weight	Weight	continuous	21002_irnt	complete	True	True	-0.21908277642036147	0.05090452732860432	-0.31575041134096254	-0.11699886988249306	18.192274608714566	1.7143651576353214	0.28768547380708814	0.00782817006791417	34	7218135
2026-09-13T16:33:32Z	unresolved	3006923	ALT	continuous	30620_irnt	max_iterations	False	False	-0.3888534066716705	0.11151796927104567	-0.5891661168110476	-0.1606622082571912	48.680809219829506	8.932547708228425	0.13548689459947744	0.005704744627029759	100	7217885
2026-09-13T16:33:32Z	validated	3024561	Albumin	continuous	30600_irnt	complete	True	True	-0.3891804975442291	0.09873220108696992	-0.5776366228332488	-0.1769725642486581	45.03920735938352	12.527540295135184	0.16339516873979454	0.00951349780966859	31	7218102
2026-09-13T16:33:32Z	validated	3013721	AST	continuous	30650_irnt	complete	True	True	-0.4006595504948886	0.08200665590736914	-0.55618920565841	-0.23340704757430208	50.88780081073311	8.434152423444996	0.15469809214547006	0.007363876208059039	43	7217830
2026-09-13T16:33:32Z	unresolved	3013869	Basophil %	continuous	30220_irnt	max_iterations	False	False	-0.4482269652532796	0.0815815850108048	-0.631992404982048	-0.25446890928927834	24.97874518812852	7.0935949838487975	0.062248445509179615	0.0058562298405992	100	7218173
2026-09-13T16:33:32Z	unresolved	3027114	Total cholesterol	continuous	30690_irnt	max_iterations	False	False	-0.8380800086846524	0.07878135072046386	-1.0318168906455083	-0.6226359957338425	52.500262298926756	10.829828105563921	0.15777536781591656	0.014275682852854884	100	7217978
