method	role	annotation	enrichment	change_percent	fit_minutes	iterations	status	score_criterion	independent_audit_minutes
Old method	historical	Coding	8.248800582726213	0.0	65.78723973958209	50	native_not_converged	2.2391740796475172	7.160527966666268
Old method	historical	Conserved	8.577879337230112	0.0	65.78723973958209	50	native_not_converged	2.2391740796475172	7.160527966666268
Old method	historical	DHS	2.2752207193842846	0.0	65.78723973958209	50	native_not_converged	2.2391740796475172	7.160527966666268
Old method	historical	Enhancer	2.960125444824007	0.0	65.78723973958209	50	native_not_converged	2.2391740796475172	7.160527966666268
Old method	historical	Promoter	3.0335967192939886	0.0	65.78723973958209	50	native_not_converged	2.2391740796475172	7.160527966666268
Old method	historical	Repressed	0.6838488892557559	0.0	65.78723973958209	50	native_not_converged	2.2391740796475172	7.160527966666268
New AI	new_safeguarded_ai	Coding	8.283636729259731	0.4223177198205974	44.96561197430128	34	stationary	0.0006907765115171054	0.0
New AI	new_safeguarded_ai	Conserved	8.626232032735095	0.563690553387941	44.96561197430128	34	stationary	0.0006907765115171054	0.0
New AI	new_safeguarded_ai	DHS	2.306792826573329	1.3876503022347775	44.96561197430128	34	stationary	0.0006907765115171054	0.0
New AI	new_safeguarded_ai	Enhancer	2.921924571316919	-1.2905153588637641	44.96561197430128	34	stationary	0.0006907765115171054	0.0
New AI	new_safeguarded_ai	Promoter	3.05881123285778	0.8311755284881706	44.96561197430128	34	stationary	0.0006907765115171054	0.0
New AI	new_safeguarded_ai	Repressed	0.6939733269856437	1.4805080316656394	44.96561197430128	34	stationary	0.0006907765115171054	0.0
New BFGS	new_safeguarded_bfgs	Coding	7.731500573124383	-6.271214880441001	90.6628090062489	100	max_iterations	3.997135481681632	0.0
New BFGS	new_safeguarded_bfgs	Conserved	8.24949093428954	-3.8283168838163184	90.6628090062489	100	max_iterations	3.997135481681632	0.0
New BFGS	new_safeguarded_bfgs	DHS	2.2913019553461247	0.706798941519482	90.6628090062489	100	max_iterations	3.997135481681632	0.0
New BFGS	new_safeguarded_bfgs	Enhancer	3.020510249591718	2.039940735393442	90.6628090062489	100	max_iterations	3.997135481681632	0.0
New BFGS	new_safeguarded_bfgs	Promoter	3.038237006233623	0.15296321063777985	90.6628090062489	100	max_iterations	3.997135481681632	0.0
New BFGS	new_safeguarded_bfgs	Repressed	0.6985549320512052	2.150481345587063	90.6628090062489	100	max_iterations	3.997135481681632	0.0
