trait	optimizer	annotation	prior_native_enrichment	integrated_enrichment	relative_change_percent	prior_native_status	integrated_status	prior_process_minutes	integrated_process_minutes	prior_iterations	integrated_iterations
bmi	ai	Coding	7.038541925856106	7.006188758748947	-0.45965723367092925	True	stationary	20.61283404827118	39.18010038054975	16	26
bmi	ai	Conserved	8.571262806121183	8.611118067649464	0.4649870436806314	True	stationary	20.61283404827118	39.18010038054975	16	26
bmi	ai	DHS	2.1733170098642765	2.1804253290374023	0.3270723571785705	True	stationary	20.61283404827118	39.18010038054975	16	26
bmi	ai	Enhancer	2.3696821490276596	2.324940019276164	-1.8881067981988409	True	stationary	20.61283404827118	39.18010038054975	16	26
bmi	ai	Promoter	2.489158869558445	2.4922924319879924	0.12588840623513065	True	stationary	20.61283404827118	39.18010038054975	16	26
bmi	ai	Repressed	0.8084150978264192	0.8100777288011685	0.20566550268785733	True	stationary	20.61283404827118	39.18010038054975	16	26
bmi	bfgs	Coding	7.038541925856106	7.008362662015724	-0.42877152907931926	True	stationary	20.61283404827118	45.38535838541769	16	37
bmi	bfgs	Conserved	8.571262806121183	8.612138900438728	0.47689698988524487	True	stationary	20.61283404827118	45.38535838541769	16	37
bmi	bfgs	DHS	2.1733170098642765	2.1807449629727134	0.3417795505544108	True	stationary	20.61283404827118	45.38535838541769	16	37
bmi	bfgs	Enhancer	2.3696821490276596	2.326357429700451	-1.8282924292182368	True	stationary	20.61283404827118	45.38535838541769	16	37
bmi	bfgs	Promoter	2.489158869558445	2.4914986462110047	0.09399868691284397	True	stationary	20.61283404827118	45.38535838541769	16	37
bmi	bfgs	Repressed	0.8084150978264192	0.80995531278866	0.19052278543312262	True	stationary	20.61283404827118	45.38535838541769	16	37
