annotation	ai	bfgs	absolute_change	relative_change_percent
base	1.0	1.0	0.0	0.0
Coding_UCSC	7.006188758748947	7.008362662015724	0.002173903266776911	0.031028328548265982
Coding_UCSC.flanking.500	1.0423187862431875	1.042357664796406	3.887855321837996e-05	0.003730005995428165
Conserved_LindbladToh	8.611118067649464	8.612138900438728	0.0010208327892637925	0.011854822814449939
Conserved_LindbladToh.flanking.500	1.449122019327622	1.449052641981212	-6.937734640999338e-05	-0.00478754345628607
CTCF_Hoffman	1.1744143182210292	1.1748898306508098	0.00047551242978061126	0.04048932496845126
CTCF_Hoffman.flanking.500	1.175039880652415	1.1755846610658234	0.0005447804134084411	0.046362716906767076
DGF_ENCODE	1.848365981558305	1.8482540557702996	-0.00011192578800534037	-0.006055391038461977
DGF_ENCODE.flanking.500	0.9302054421175425	0.9302176154150898	1.2173297547324324e-05	0.0013086676336371283
DHS_peaks_Trynka	2.4867747365351494	2.487119741758761	0.00034500522361158303	0.013873601759861742
DHS_Trynka	2.1804253290374023	2.1807449629727134	0.0003196339353110922	0.014659247031056921
DHS_Trynka.flanking.500	0.8718819659199479	0.87193956735729	5.760143734201417e-05	0.006606563685629396
Enhancer_Andersson	2.231707450179862	2.2299186170330847	-0.0017888331467772467	-0.08015536026610981
Enhancer_Andersson.flanking.500	1.8066884743240919	1.8076017176109698	0.0009132432868779183	0.050547911267306844
Enhancer_Hoffman	2.324940019276164	2.326357429700451	0.0014174104242870023	0.06096546201344033
Enhancer_Hoffman.flanking.500	1.2561437889588927	1.2545538477121383	-0.0015899412467543783	-0.12657318857358657
FetalDHS_Trynka	3.09281181749961	3.093581609498644	0.0007697919990339308	0.02488971345357971
FetalDHS_Trynka.flanking.500	1.120782653286224	1.1208025763386225	1.9923052398507224e-05	0.001777601780328375
H3K27ac_Hnisz	1.2623740987909822	1.2623382537312526	-3.5845059729533446e-05	-0.002839495816953086
H3K27ac_Hnisz.flanking.500	1.1437378030939631	1.1444029694685418	0.0006651663745786962	0.05815724310058723
H3K27ac_PGC2	1.5291974011944287	1.5292156483406805	1.8247146251759716e-05	0.001193249886344283
H3K27ac_PGC2.flanking.500	0.892354421334522	0.8923806209528213	2.6199618299305172e-05	0.0029360103645847957
H3K4me1_peaks_Trynka	1.7584779054925705	1.7580141804386777	-0.00046372505389280505	-0.026370820608234702
H3K4me1_Trynka	1.4096780428158766	1.4095631267990851	-0.00011491601679147756	-0.00815193351255683
H3K4me1_Trynka.flanking.500	0.8912220327904985	0.8915854084575338	0.0003633756670352595	0.04077274278078136
H3K4me3_peaks_Trynka	2.7103092915509994	2.711070074487992	0.0007607829369926655	0.028069967489119385
H3K4me3_Trynka	2.095473912001685	2.0953798247003874	-9.408730129756293e-05	-0.004490024941794513
H3K4me3_Trynka.flanking.500	0.9838752871683928	0.9840230677700631	0.00014778060167031093	0.015020257505971024
H3K9ac_peaks_Trynka	2.7747651206439636	2.7769293292904758	0.0021642086465121224	0.07799610245964317
H3K9ac_Trynka	2.2299741713563552	2.2299287213325467	-4.545002380851315e-05	-0.0020381412660475107
H3K9ac_Trynka.flanking.500	1.1217022635995817	1.121617477792799	-8.478580678272785e-05	-0.007558673057384002
Intron_UCSC	1.1000299696530795	1.0999488139532458	-8.115569983369042e-05	-0.007377589890511516
Intron_UCSC.flanking.500	6.459306338885133	6.460866216784846	0.0015598778997132356	0.02414930981555763
PromoterFlanking_Hoffman	1.5489335287457613	1.5492786562629346	0.0003451275171733048	0.022281622210917895
PromoterFlanking_Hoffman.flanking.500	2.060207708456067	2.059568155911467	-0.0006395525445999084	-0.031043109972594962
Promoter_UCSC	2.4922924319879924	2.4914986462110047	-0.0007937857769877432	-0.03184962433780969
Promoter_UCSC.flanking.500	1.402156196150313	1.4044064488876902	0.002250252737377112	0.16048516873907737
Repressed_Hoffman	0.8100777288011685	0.80995531278866	-0.0001224160125085083	-0.015111637828835178
Repressed_Hoffman.flanking.500	0.8300759252154364	0.8303143839698469	0.000238458754410531	0.028727342543843903
SuperEnhancer_Hnisz	1.4325431899218746	1.4326664264851845	0.00012323656330992527	0.00860264208275563
SuperEnhancer_Hnisz.flanking.500	1.0395103648756192	1.0313814763258624	-0.008128888549756796	-0.78199206322771
TFBS_ENCODE	1.9422924997115987	1.9427479960859166	0.0004554963743179652	0.023451481915603978
TFBS_ENCODE.flanking.500	0.900406497313431	0.9001927608277566	-0.00021373648567446502	-0.023737776916554765
Transcr_Hoffman	1.0834169247466052	1.083467132177319	5.0207430713822276e-05	0.004634174486950471
Transcr_Hoffman.flanking.500	0.8358080405152863	0.8357262957681261	-8.17447471602728e-05	-0.009780325529040734
TSS_Hoffman	4.1403520300314876	4.141885761210067	0.0015337311785792451	0.03704349696485032
TSS_Hoffman.flanking.500	2.069907896091761	2.0682212360537227	-0.0016866600380383012	-0.0814847868942814
UTR_3_UCSC	4.834502403483223	4.8358513868992565	0.0013489834160331782	0.02790325256765147
UTR_3_UCSC.flanking.500	1.982557475024068	1.9815667984368401	-0.0009906765872278456	-0.04996962760012158
UTR_5_UCSC	4.036968831935958	4.038680177781884	0.0017113458459254716	0.042391851836631744
UTR_5_UCSC.flanking.500	2.1058823093043633	2.106170347297004	0.00028803799264087715	0.013677782056875643
WeakEnhancer_Hoffman	1.7968503296813063	1.7964426464018086	-0.0004076832794976948	-0.022688772279100267
WeakEnhancer_Hoffman.flanking.500	1.2708426596704276	1.2705811680934818	-0.00026149157694588254	-0.02057623537863318
GERP.NS	1.8916072452720953	1.8916471324407278	3.988716863245756e-05	0.002108639028119974
GERP.RSsup4	12.469650858070116	12.471539265226966	0.0018884071568496807	0.015144025910140968
MAFbin1	0.6154298880446917	0.6155058989553228	7.601091063114129e-05	0.012350864348276147
MAFbin2	0.6799930381722811	0.6799556865529255	-3.735161935558562e-05	-0.005492941435980558
MAFbin3	0.7692855976183839	0.7694558182739416	0.00017022065555771793	0.02212710807074636
MAFbin4	1.014672555123281	1.0144833179696717	-0.0001892371536091897	-0.018650071163717197
MAFbin5	1.3994888668038914	1.3994821824434556	-6.684360435826875e-06	-0.00047762869676004627
MAFbin6	1.288841071699748	1.2887713996274162	-6.967207233188333e-05	-0.00540579237128247
MAFbin7	1.6312034776635116	1.6311123995792993	-9.107808421227048e-05	-0.005583490070948383
MAFbin8	1.5901349623406345	1.5902442379809336	0.00010927564029916681	0.00687209846252923
MAFbin9	1.5991016199202408	1.5990312212739164	-7.039864632440995e-05	-0.004402387280921793
MAFbin10	1.792749437393889	1.7927698839574073	2.044656351829488e-05	0.0011405142900544618
MAF_Adj_Predicted_Allele_Age	-48.27139278265694	-48.2820177579744	-0.010624975317462315	0.022010915171444267
MAF_Adj_LLD_AFR	17.758684256135695	17.75980885800953	0.0011246018738368946	0.006332686913146368
Recomb_Rate_10kb	0.9062372157103096	0.906290257463395	5.3041753085403265e-05	0.005852965665709142
Nucleotide_Diversity_10kb	0.860989947925528	0.8609905383696321	5.904441041648667e-07	6.857735164178536e-05
Backgrd_Selection_Stat	1.2831936297617301	1.2831612969289594	-3.233283277070953e-05	-0.0025197158106782247
CpG_Content_50kb	1.1563832341853872	1.1563676215799445	-1.561260544269416e-05	-0.0013501238154578488
MAF_Adj_ASMC	31.087696971484387	31.083633496405433	-0.004063475078954326	-0.01307100710188358
GTEx_eQTL_MaxCPP	3.614454456257919	3.614178698684587	-0.00027575757333186957	-0.0076292999861782285
BLUEPRINT_H3K27acQTL_MaxCPP	2.0148481053084493	2.0155920963084184	0.0007439909999691352	0.03692541378226277
BLUEPRINT_H3K4me1QTL_MaxCPP	3.129605464175793	3.130411596574247	0.0008061323984538404	0.0257582755296637
BLUEPRINT_DNA_methylation_MaxCPP	2.677334328787287	2.677397639772936	6.331098564915649e-05	0.0023647022700412634
synonymous	1.6130473683360047	1.615501685939742	0.002454317603737266	0.15215409366862165
non_synonymous	15.64998699512655	15.650282705120224	0.0002957099936740093	0.0018895222965165104
Conserved_Vertebrate_phastCons46way	8.066822638939646	8.067628753485863	0.0008061145462168184	0.009992962313631892
Conserved_Vertebrate_phastCons46way.flanking.500	1.2404725058377444	1.2403489401538073	-0.0001235656839371213	-0.00996117877305469
Conserved_Mammal_phastCons46way	9.955897987044564	9.957677346709717	0.0017793596651536348	0.01787241761084246
Conserved_Mammal_phastCons46way.flanking.500	1.4021526242577376	1.4020639927027763	-8.863155496130481e-05	-0.00632110609273262
Conserved_Primate_phastCons46way	11.126054209144291	11.129495234549255	0.0034410254049639377	0.030927634723698638
Conserved_Primate_phastCons46way.flanking.500	2.0777611312715125	2.0771158127238407	-0.0006453185476718026	-0.03105836074991375
BivFlnk	5.428665290160062	5.430063742155433	0.0013984519953709196	0.02576051240266164
BivFlnk.flanking.500	2.4577544304218515	2.4588209939274637	0.0010665635056121836	0.043395853239469595
Human_Promoter_Villar	4.124818778566322	4.125395057429031	0.0005762788627086124	0.013971010452706878
Human_Promoter_Villar.flanking.500	1.3382843982257864	1.3311709757828678	-0.007113422442918571	-0.5315329426502369
Human_Enhancer_Villar	1.266429949112379	1.2663954258536883	-3.452325869068851e-05	-0.002726029869626334
Human_Enhancer_Villar.flanking.500	0.2060846720930465	0.20579748897415134	-0.0002871831188951679	-0.13935200322200414
Ancient_Sequence_Age_Human_Promoter	8.940683871040921	8.94375879944036	0.003074928399438903	0.03439254137369563
Ancient_Sequence_Age_Human_Promoter.flanking.500	3.9545808756613883	3.9480332116441015	-0.006547664017286792	-0.16557163004515818
Ancient_Sequence_Age_Human_Enhancer	4.151715672799286	4.152602902344706	0.0008872295454205315	0.021370190430758385
Ancient_Sequence_Age_Human_Enhancer.flanking.500	1.3887016055966905	1.3885783314816167	-0.0001232741150738459	-0.008876933286250388
Human_Enhancer_Villar_Species_Enhancer_Count	1.6308088354454315	1.6309681936389329	0.0001593581935013244	0.00977172738076959
Human_Promoter_Villar_ExAC	9.380682319014989	9.382348132913098	0.0016658138981089365	0.017757918256466887
Human_Promoter_Villar_ExAC.flanking.500	0.16423761875013218	0.15889233547370546	-0.005345283276426721	-3.2546034928568557
