annotation	exact	screened	absolute_change	relative_change_percent
base	1.0	1.0	0.0	0.0
Coding_UCSC	8.223861167082484	8.224004866913909	0.00014369983142437093	0.0017473523507449684
Coding_UCSC.flanking.500	1.483409643635446	1.483280400790808	-0.00012924284463800007	-0.008712552543566066
Conserved_LindbladToh	8.527932952654231	8.528311061535018	0.00037810888078659843	0.004433769389211584
Conserved_LindbladToh.flanking.500	1.4933981461133934	1.4932245911257571	-0.00017355498763627075	-0.011621481390478028
CTCF_Hoffman	1.234569579101688	1.2346589848063059	8.940570461790642e-05	0.007241852231842927
CTCF_Hoffman.flanking.500	1.2509173426262805	1.250959774556147	4.243192986641553e-05	0.0033920650406304986
DGF_ENCODE	2.115736335797772	2.1157673224448406	3.0986647068687034e-05	0.0014645798034562674
DGF_ENCODE.flanking.500	1.0348253204533535	1.034819935545877	-5.384907476591039e-06	-0.0005203687395538559
DHS_peaks_Trynka	2.612092684456078	2.61208392381715	-8.76063892807366e-06	-0.0003353877517486836
DHS_Trynka	2.3017740510385436	2.3017510548084337	-2.299623010992846e-05	-0.0009990654860181358
DHS_Trynka.flanking.500	0.8917851390177816	0.8919090204015213	0.00012388138373975455	0.01389139360139513
Enhancer_Andersson	3.383224999151583	3.384147512386417	0.0009225132348338327	0.02726727412647456
Enhancer_Andersson.flanking.500	1.8151529868460576	1.8151259106592195	-2.7076186838170813e-05	-0.0014916751940097228
Enhancer_Hoffman	2.917278935574067	2.917476401147416	0.00019746557334876513	0.006768827311676162
Enhancer_Hoffman.flanking.500	1.6077668611518001	1.6075185724905776	-0.0002482886612225066	-0.01544307618360774
FetalDHS_Trynka	3.0896380301628463	3.0896602585832573	2.222842041099682e-05	0.0007194506344676554
FetalDHS_Trynka.flanking.500	1.269884458121265	1.269898927080703	1.4468959438129758e-05	0.001139391804150236
H3K27ac_Hnisz	1.4158406375589994	1.415844825148037	4.187589037529804e-06	0.0002957669759107162
H3K27ac_Hnisz.flanking.500	1.052521679336804	1.0526006022234746	7.89228866706626e-05	0.0074984571073466455
H3K27ac_PGC2	1.7085286678624487	1.7085889410954607	6.027323301194265e-05	0.0035277858748017366
H3K27ac_PGC2.flanking.500	0.952870552174781	0.952677318574988	-0.0001932335997929524	-0.020279102901432644
H3K4me1_peaks_Trynka	1.963367849104182	1.9632665327382315	-0.00010131636595045457	-0.005160335389864379
H3K4me1_Trynka	1.5110744367479876	1.5109833167683164	-9.111997967115038e-05	-0.006030145005120335
H3K4me1_Trynka.flanking.500	0.9163369241066859	0.9166611459929705	0.0003242218862846702	0.035382388044746804
H3K4me3_peaks_Trynka	2.9050042198586445	2.9049474570562133	-5.676280243127607e-05	-0.0019539662642564792
H3K4me3_Trynka	2.4140936094580923	2.414032813814078	-6.0795644014177697e-05	-0.0025183631560898867
