paper_code	slide_label	trait_type	neale_code	status	alpha_eligible	nonsynonymous_eligible	uncertainty_status	alpha_uncertainty_status	alpha	alpha_se	alpha_ci_low	alpha_ci_high	alpha_curve_delete_boundary_count	nonsynonymous_enrichment	nonsynonymous_enrichment_se	total_h2	total_h2_se	iterations	matched_snp_count	nonsynonymous_snp_count	alpha_matched_snp_count	optimization_seconds	fixed_sldsc_intercept	mapping_note	source_commit	numerical_review_status	uncertainty_qualification	native_api_seconds	input_preparation_seconds	pre_extraction_process_seconds	sample_size	workers	information_penalty	alpha_validation_scope	cohort_concurrency_exposure
DE_660.6	Cellulitis	binary	L03	max_iterations	False	False	provisional_unresolved_endpoint	boundary_degenerate_zero_SE	-2.8012844340349092	0.0			100	11.616213181050325	6.44548611835986	0.011647341375931639	0.013957672110815056	100	7218125	21608	5304308	5050.163485415978	0.9920606247847863	Main-ICD10 cellulitis; abscess-only cases omitted. L02 is a separate endpoint and cannot be pooled from marginal statistics.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional. All 100 delete alpha estimates hit the lower bound; zero alpha SE is degenerate, not precision.	5174.301203708979	32.283388875075616	5211.934885416995	361194.0	12	0	saved_prediction_profile_identities_only	serial_cohort_fit
EM_236.1	Obesity	binary	E4_OBESITY	max_iterations	False	False	provisional_unresolved_endpoint	boundary_affected_missing_intervals	-0.659902329959993	26.899484186942534			50	0.24267062207680246	72.19674030580384	0.008687487451396412	0.08650538383269964	100	6071118	16730	5302919	4908.240111666964	0.9832787216141073	Curated obesity; 448 cases, versus 353 main-ICD10 cases. Remains weakly powered in this release.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional. Alpha uncertainty is boundary affected; 50 delete estimates hit bounds and profile interval is unavailable.	5014.995208125096	28.426498707965948	5047.9395266670035	361194.0	12	0	saved_prediction_profile_identities_only	serial_cohort_fit
EM_239	Hyperlipidemia	binary	20002_1473	max_iterations	False	False	provisional_unresolved_endpoint		-0.5505452434134747	0.11670046147142736	-0.7810025388425935	-0.28988953691856684	0	57.27136404205852	12.635911914998758	0.05249783668438819	0.00242457852197055	100	7218124	21609	5304308	5019.927036084002	1.048283544923213	Self-reported high cholesterol is a narrower lipid-disorder proxy for hyperlipidemia.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5143.3510545419995	30.517175666987896	5179.311785875005	361141.0	12	0	saved_prediction_profile_identities_only	serial_cohort_fit
height	Height	continuous	50_irnt	complete	True	True	available		-0.32831786698472537	0.07373123756192035	-0.46914905315732053	-0.18044706247232523	0	26.68559090383202	3.3365147649054845	0.6375866770957569	0.0661792994664426	79	7218151	21608	5304308	4701.095785249956	1.3332616485450859	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	4826.109761291998	30.188569167046808	4861.6147828750545	360388.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
hip-circumference-mean	Hip circumference	continuous	49_irnt	complete	True	True	available		-0.24393356057012033	0.049415811973505495	-0.33770172575830576	-0.14508595053679654	0	16.218179518780005	1.6720273918850472	0.2450288666061813	0.006704385045866546	43	7218167	21608	5304308	3199.1981150829233	1.0865420494486866	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	3323.7902866669465	32.01863683399279	3361.190465166932	360521.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
RE_462.1	Acute sinusitis	binary	J01	max_iterations	False	False	singular_information							5.087475840552661		0.003950408169635701		100	4132818	10284	4132788	4840.805544166942	0.9972541934676534	Main-ICD10 acute sinusitis; only 112 cases. Chronic sinusitis is not substituted.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Singular information; alpha and uncertainty unavailable; enrichment point estimate provisional.	4858.685716834036	22.400473957997747	4884.246672500041	361194.0	12	0	withheld_singular_information	serial_cohort_fit
waist-circumference-mean	Waist circumference	continuous	48_irnt	complete	True	True	available		-0.2713564441175143	0.048327460552875234	-0.3637775122551515	-0.17491479880757754	0	15.399101752758407	1.7641797386406992	0.2247274270411268	0.004789506499453929	24	7218160	21608	5304308	2155.024891500012	1.0759834140429696	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	2279.39564604091	29.85907383391168	2314.706326833926	360564.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
weight	Weight	continuous	21002_irnt	complete	True	True	available		-0.21908277642036147	0.05090452732860432	-0.31575041134096254	-0.11699886988249306	0	18.192274608714566	1.7143651576353214	0.28768547380708814	0.00782817006791417	34	7218135	21609	5304308	7032.619304042077	1.1221276871928567	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	7928.974554875051	115.39572675002273	8064.913647791953	360116.0	12	0	benchmark_parity_and_saved_arithmetic	early_two_fit_overlap
3006923	ALT	continuous	30620_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.3888534066716705	0.11151796927104567	-0.5891661168110476	-0.1606622082571912	0	48.680809219829506	8.932547708228425	0.13548689459947744	0.005704744627029759	100	7217885	21608	5304308	6092.697198124952	1.078153548087153	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	6216.780752958031	31.031281457981095	6253.250027291942	344136.0	12	0	saved_output_arithmetic_without_101_optimum_certificate	serial_cohort_fit
3024561	Albumin	continuous	30600_irnt	complete	True	True	available		-0.3891804975442291	0.09873220108696992	-0.5776366228332488	-0.1769725642486581	0	45.03920735938352	12.527540295135184	0.16339516873979454	0.00951349780966859	31	7218102	21611	5304308	2286.348833124968	1.0748705077216079	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	2409.8498848329764	30.77429420896806	2445.9647890840424	315268.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
3013721	AST	continuous	30650_irnt	complete	True	True	available		-0.4006595504948886	0.08200665590736914	-0.55618920565841	-0.23340704757430208	0	50.88780081073311	8.434152423444996	0.15469809214547006	0.007363876208059039	43	7217830	21608	5304308	2749.8097247909755	1.0776161691855213	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	2873.203914415906	30.67522454203572	2909.2504713750677	342990.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
3013869	Basophil %	continuous	30220_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.4482269652532796	0.0815815850108048	-0.631992404982048	-0.25446890928927834	0	24.97874518812852	7.0935949838487975	0.062248445509179615	0.0058562298405992	100	7218173	21611	5304308	5070.133081667009	1.0571429707343478	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5193.4840112080565	29.732243624981493	5228.583411582978	349861.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
3027114	Total cholesterol	continuous	30690_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.8380800086846524	0.07878135072046386	-1.0318168906455083	-0.6226359957338425	0	52.500262298926756	10.829828105563921	0.15777536781591656	0.014275682852854884	100	7217978	21608	5304308	5257.714658083045	1.0551894218586033	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5381.821124667069	29.235043792054057	5416.473735708045	344278.0	12	0	saved_prediction_profile_identities_only	serial_cohort_fit
heart-rate-mean	Heart rate	continuous	102_irnt	complete	True	True	available		-0.39143310824081645	0.11239594033444938	-0.588542074486588	-0.16444951618967393	0	23.384987277033986	3.6231638895860625	0.17116730677474928	0.0068216477923237024	59	7218362	21615	5304308	4979.22187524999	1.0676494590221393	ECG5983 remains downloaded as an alternative; primary uses automated pulse.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	5102.8416041249875	33.13610650005285	5141.346919915988	340162.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
3004410	HbA1c	continuous	30750_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.09862325740040948	0.06242391914443202	-0.22090921549491327	0.02845091128070905	0	32.45437219077378	5.397852354608139	0.23777656247640638	0.01766360286995995	100	7218030	21608	5304308	7699.02767887502	1.16007140034294	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	7828.127823582967	30.514071209006943	7863.995190500049	344182.0	12	0	saved_output_arithmetic_without_101_optimum_certificate	serial_cohort_fit
3007070	HDL	continuous	30760_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.5121534026387408	0.11856387549244177	-0.7199886572632185	-0.24582248840198392	0	44.08327593453905	5.961404267827719	0.28610914658748837	0.02820954132187177	100	7218098	21610	5304308	5722.6110622090055	1.1264102744396163	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5850.176365750027	30.292314124992117	5885.825589708053	315133.0	12	0	saved_output_arithmetic_without_101_optimum_certificate	serial_cohort_fit
3043111	Mean platelet volume	continuous	30100_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.09925295121541024	0.09844038406308472	-0.3015046061059865	0.10370199864419495	0	32.23496418276906	5.067210660299325	0.541119340036311	0.08775502441677127	100	7218156	21612	5304308	5283.02500391705	1.1736049114586944	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5406.553557457984	31.56045141699724	5443.180984584033	350470.0	12	0	saved_prediction_profile_identities_only	serial_cohort_fit
3011948	Monocyte %	continuous	30190_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.25345605354822603	0.09851713386680361	-0.4406650413239138	-0.04497845425704862	0	27.196245130883725	5.06642171841779	0.21853938448249927	0.012096221308937824	100	7218173	21611	5304308	5368.6224362910725	1.1278678306364935	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5493.150894084014	31.798405625042506	5530.373237084015	349861.0	12	0	saved_output_arithmetic_without_101_optimum_certificate	serial_cohort_fit
3008342	Neutrophil %	continuous	30200_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.43882472688218893	0.07067490101039464	-0.591633843288214	-0.2728043617764431	0	22.91505650146281	3.2569823175128256	0.18988369963020896	0.008182603648154332	100	7218173	21611	5304308	5189.531987417024	1.0467884172613229	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5313.075064792065	30.0373040830018	5348.563912583049	349861.0	12	0	saved_output_arithmetic_without_101_optimum_certificate	serial_cohort_fit
3024929	Platelets	continuous	30080_irnt	complete	True	True	available		-0.28352702046505834	0.10222812874906524	-0.47536418592246826	-0.0866823981413371	0	32.257388002107035	3.513571416428143	0.32629260031687995	0.016817580502181094	62	7218151	21612	5304308	3894.8631302920403	1.1601033830939094	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	4020.3926608340116	29.450908333994448	4055.1999711249955	350474.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
3019897	RDW	continuous	30070_irnt	complete	True	True	available		-0.4345952222535972	0.14136115477818526	-0.6973957844406069	-0.13896771102278324	0	35.66527184206214	7.120333952523079	0.24149757052609355	0.013881475517744333	85	7218154	21612	5304308	4888.0667979159625	1.0680006522796	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	5012.908204999985	31.68906008405611	5049.818927959073	350473.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
3020630	Total protein	continuous	30860_irnt	complete	True	True	available		-0.48560213730202545	0.0673367581826712	-0.612346877014931	-0.3456390202530507	0	37.05890962301957	4.180263130831633	0.18235009441509972	0.0064884722300080295	29	7218145	21612	5304308	2222.284245792078	1.0942116347933288	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	2345.193480667076	30.661270083044656	2381.1437403330347	314921.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
3022192	Triglycerides	continuous	30870_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.35685701523278196	0.1870745898015625	-0.6681072691805265	-0.006763043684800586	0	50.77644207213443	11.847271229092962	0.20545055489107916	0.012484359614172812	100	7217962	21608	5304308	5173.778802915942	1.11119249374362	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5297.0647781669395	30.781152458046563	5333.235883000074	343992.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
